ticker|company|date|close
SWRAY|Swire Pacific Limited|2008-05-07|12.3
SWRAY|Swire Pacific Limited|2008-05-06|12.55
SWRAY|Swire Pacific Limited|2008-05-05|12.3
SWRAY|Swire Pacific Limited|2008-05-02|12.2
SWRAY|Swire Pacific Limited|2008-05-01|11.95
SWRAY|Swire Pacific Limited|2008-04-30|11.64
SWRAY|Swire Pacific Limited|2008-04-29|11.65
SWRAY|Swire Pacific Limited|2008-04-28|11.75
SWRAY|Swire Pacific Limited|2008-04-25|11.46
SWRAY|Swire Pacific Limited|2008-04-24|11.55
SWRAY|Swire Pacific Limited|2008-04-23|11.4
SWRAY|Swire Pacific Limited|2008-04-22|11.15
SWRAY|Swire Pacific Limited|2008-04-21|11.44
SWRAY|Swire Pacific Limited|2008-04-18|11.4
SWRAY|Swire Pacific Limited|2008-04-17|11.25
SWRAY|Swire Pacific Limited|2008-04-16|11.1
SWRAY|Swire Pacific Limited|2008-04-15|11.45
SWRAY|Swire Pacific Limited|2008-04-14|11.55
SWRAY|Swire Pacific Limited|2008-04-11|11.6
SWRAY|Swire Pacific Limited|2008-04-10|11.75
SWRAY|Swire Pacific Limited|2008-04-09|11.85
SWRAY|Swire Pacific Limited|2008-04-08|11.56
SWRAY|Swire Pacific Limited|2008-04-07|11.8
SWRAY|Swire Pacific Limited|2008-04-04|11.55
SWRAY|Swire Pacific Limited|2008-04-03|11.7
SWRAY|Swire Pacific Limited|2008-04-02|11.5
SWRAY|Swire Pacific Limited|2008-04-01|11.7
SWRAY|Swire Pacific Limited|2008-03-31|11.45
SWRAY|Swire Pacific Limited|2008-03-28|11.55
SWRAY|Swire Pacific Limited|2008-03-27|11.2
SWRAY|Swire Pacific Limited|2008-03-26|11.4
SWRAY|Swire Pacific Limited|2008-03-25|11.35
SWRAY|Swire Pacific Limited|2008-03-24|11.5
SWRAY|Swire Pacific Limited|2008-03-20|11.25
SWRAY|Swire Pacific Limited|2008-03-19|10.85
SWRAY|Swire Pacific Limited|2008-03-18|11.25
SWRAY|Swire Pacific Limited|2008-03-17|10.8
SWRAY|Swire Pacific Limited|2008-03-14|11.25
SWRAY|Swire Pacific Limited|2008-03-13|11.25
SWRAY|Swire Pacific Limited|2008-03-12|11.75
SWRAY|Swire Pacific Limited|2008-03-11|12.15
SWRAY|Swire Pacific Limited|2008-03-10|11.05
SWRAY|Swire Pacific Limited|2008-03-07|10.7
SWRAY|Swire Pacific Limited|2008-03-06|11.6
SWRAY|Swire Pacific Limited|2008-03-05|11.6
SWRAY|Swire Pacific Limited|2008-03-04|11.1
SWRAY|Swire Pacific Limited|2008-03-03|11.2
SWRAY|Swire Pacific Limited|2008-02-29|11.6
SWRAY|Swire Pacific Limited|2008-02-28|11.65
SWRAY|Swire Pacific Limited|2008-02-27|11.75
SWRAY|Swire Pacific Limited|2008-02-26|11.8
SWRAY|Swire Pacific Limited|2008-02-25|11.9
SWRAY|Swire Pacific Limited|2008-02-22|11.85
SWRAY|Swire Pacific Limited|2008-02-21|12.3
SWRAY|Swire Pacific Limited|2008-02-20|12.3
SWRAY|Swire Pacific Limited|2008-02-19|12.55
SWRAY|Swire Pacific Limited|2008-02-15|12.5
SWRAY|Swire Pacific Limited|2008-02-14|12.25
SWRAY|Swire Pacific Limited|2008-02-13|12.5
SWRAY|Swire Pacific Limited|2008-02-12|12.8
SWRAY|Swire Pacific Limited|2008-02-11|12.8
SWRAY|Swire Pacific Limited|2008-02-08|12.6
SWRAY|Swire Pacific Limited|2008-02-07|12.6
SWRAY|Swire Pacific Limited|2008-02-06|12.5
SWRAY|Swire Pacific Limited|2008-02-05|13.1
SWRAY|Swire Pacific Limited|2008-02-04|13.45
SWRAY|Swire Pacific Limited|2008-02-01|13.5
SWRAY|Swire Pacific Limited|2008-01-31|13.9
SWRAY|Swire Pacific Limited|2008-01-30|13.6
SWRAY|Swire Pacific Limited|2008-01-29|13.35
SWRAY|Swire Pacific Limited|2008-01-28|13.2
SWRAY|Swire Pacific Limited|2008-01-25|13.35
SWRAY|Swire Pacific Limited|2008-01-24|12.5
SWRAY|Swire Pacific Limited|2008-01-23|12.3
SWRAY|Swire Pacific Limited|2008-01-22|12.4
SWRAY|Swire Pacific Limited|2008-01-18|12.9
SWRAY|Swire Pacific Limited|2008-01-17|12.8
SWRAY|Swire Pacific Limited|2008-01-16|13.45
SWRAY|Swire Pacific Limited|2008-01-15|14.1
SWRAY|Swire Pacific Limited|2008-01-14|13.75
SWRAY|Swire Pacific Limited|2008-01-11|13.35
SWRAY|Swire Pacific Limited|2008-01-10|13.7
SWRAY|Swire Pacific Limited|2008-01-09|14.45
SWRAY|Swire Pacific Limited|2008-01-08|13.95
SWRAY|Swire Pacific Limited|2008-01-07|14.25
SWRAY|Swire Pacific Limited|2008-01-04|13.8
SWRAY|Swire Pacific Limited|2008-01-03|13.5
SWRAY|Swire Pacific Limited|2008-01-02|13.75
SWRAY|Swire Pacific Limited|2007-12-31|13.95
SWRAY|Swire Pacific Limited|2007-12-28|13.29
SWRAY|Swire Pacific Limited|2007-12-27|13.4
SWRAY|Swire Pacific Limited|2007-12-26|13.35
SWRAY|Swire Pacific Limited|2007-12-24|13.55
SWRAY|Swire Pacific Limited|2007-12-21|13.35
SWRAY|Swire Pacific Limited|2007-12-20|13.1
SWRAY|Swire Pacific Limited|2007-12-19|13.1
SWRAY|Swire Pacific Limited|2007-12-18|12.85
SWRAY|Swire Pacific Limited|2007-12-17|12.95
SWRAY|Swire Pacific Limited|2007-12-14|13.5
SWRAY|Swire Pacific Limited|2007-12-13|13.65
SWRAY|Swire Pacific Limited|2007-12-12|14.05
SWRAY|Swire Pacific Limited|2007-12-11|14.05
SWRAY|Swire Pacific Limited|2007-12-10|13.3
SWRAY|Swire Pacific Limited|2007-12-07|13.35
SWRAY|Swire Pacific Limited|2007-12-06|14.2
SWRAY|Swire Pacific Limited|2007-12-05|14.6
SWRAY|Swire Pacific Limited|2007-12-04|13.9
SWRAY|Swire Pacific Limited|2007-12-03|13.6
SWRAY|Swire Pacific Limited|2007-11-30|13.5
SWRAY|Swire Pacific Limited|2007-11-29|13.5
SWRAY|Swire Pacific Limited|2007-11-28|12.75
SWRAY|Swire Pacific Limited|2007-11-27|12.75
SWRAY|Swire Pacific Limited|2007-11-26|12.65
SWRAY|Swire Pacific Limited|2007-11-23|12.25
SWRAY|Swire Pacific Limited|2007-11-21|11.95
SWRAY|Swire Pacific Limited|2007-11-20|12.45
SWRAY|Swire Pacific Limited|2007-11-19|12.6
SWRAY|Swire Pacific Limited|2007-11-16|12.3
